original,location,sample_period,duplicate,location,sample_period
IG2012064,Igloolik,16,IG2012064,Igloolik,16
IG2012065,Igloolik,16,IG2012065,Igloolik,16
IG2012066,Igloolik,16,IG2012066,Igloolik,16
IG2012066,Igloolik,16,IG2013049,Igloolik,17
IG2012067,Igloolik,16,IG2012067,Igloolik,16
IG2012068,Igloolik,16,IG2012068,Igloolik,16
IG2012069,Igloolik,16,IG2012069,Igloolik,16
IG2012070,Igloolik,16,IG2012070,Igloolik,16
IG2012071,Igloolik,16,IG2012071,Igloolik,16
IG2012072,Igloolik,16,IG2012072,Igloolik,16
IG2012075,Igloolik,16,IG2012075,Igloolik,16
IG2012076,Igloolik,16,IG2012076,Igloolik,16
IG2012077,Igloolik,16,IG2012077,Igloolik,16
IG2012080,Igloolik,16,IG2012080,Igloolik,16
IG2012080,Igloolik,16,IG2012117,Igloolik,16
IG2012082,Igloolik,16,IG2012082,Igloolik,16
IG2012083,Igloolik,16,IG2012083,Igloolik,16
IG2012084,Igloolik,16,IG2013161,Igloolik,17
IG2012084,Igloolik,16,IG2012084,Igloolik,16
IG2012085,Igloolik,16,IG2012085,Igloolik,16
IG2012086,Igloolik,16,IG2012086,Igloolik,16
IG2012087,Igloolik,16,IG2013106,Igloolik,17
IG2012087,Igloolik,16,IG2012087,Igloolik,16
IG2012090,Igloolik,16,IG2012090,Igloolik,16
IG2012091,Igloolik,16,IG2012091,Igloolik,16
IG2012094,Igloolik,16,IG2012094,Igloolik,16
IG2012095,Igloolik,16,IG2012095,Igloolik,16
IG2012096,Igloolik,16,IG2012096,Igloolik,16
IG2012097,Igloolik,16,IG2012097,Igloolik,16
IG2012098,Igloolik,16,IG2012098,Igloolik,16
IG2012099,Igloolik,16,IG2012100,Igloolik,16
IG2012099,Igloolik,16,IG2012099,Igloolik,16
IG2012101,Igloolik,16,IG2012113,Igloolik,16
IG2012101,Igloolik,16,IG2012101,Igloolik,16
IG2012103,Igloolik,16,IG2012103,Igloolik,16
IG2012104,Igloolik,16,IG2012104,Igloolik,16
IG2012105,Igloolik,16,IG2012105,Igloolik,16
IG2012106,Igloolik,16,IG2012106,Igloolik,16
IG2012107,Igloolik,16,IG2012107,Igloolik,16
IG2012108,Igloolik,16,IG2012108,Igloolik,16
IG2012109,Igloolik,16,IG2012109,Igloolik,16
IG2012110,Igloolik,16,IG2012111,Igloolik,16
IG2012110,Igloolik,16,IG2012110,Igloolik,16
IG2012112,Igloolik,16,IG2012112,Igloolik,16
IG2012114,Igloolik,16,IG2012114,Igloolik,16
IG2012115,Igloolik,16,IG2012115,Igloolik,16
IG2012116,Igloolik,16,IG2012116,Igloolik,16
IG2012118,Igloolik,16,IG2012118,Igloolik,16
IG2012118,Igloolik,16,IG2012119,Igloolik,16
IG2012120,Igloolik,16,IG2012120,Igloolik,16
IG2012121,Igloolik,16,IG2012121,Igloolik,16
IG2013001,Igloolik,17,IG2013001,Igloolik,17
IG2013002,Igloolik,17,IG2013002,Igloolik,17
IG2013003,Igloolik,17,IG2013003,Igloolik,17
IG2013004,Igloolik,17,IG2013004,Igloolik,17
IG2013005,Igloolik,17,IG2013005,Igloolik,17
IG2013006,Igloolik,17,IG2013007,Igloolik,17
IG2013006,Igloolik,17,IG2013006,Igloolik,17
IG2013008,Igloolik,17,IG2013009,Igloolik,17
IG2013008,Igloolik,17,IG2013008,Igloolik,17
IG2013010,Igloolik,17,IG2013010,Igloolik,17
IG2013011,Igloolik,17,IG2013011,Igloolik,17
IG2013012,Igloolik,17,IG2013012,Igloolik,17
IG2013012,Igloolik,17,IG2013013,Igloolik,17
IG2013014,Igloolik,17,IG2013014,Igloolik,17
IG2013015,Igloolik,17,IG2013015,Igloolik,17
IG2013017,Igloolik,17,IG2013017,Igloolik,17
IG2013018,Igloolik,17,IG2013018,Igloolik,17
IG2013019,Igloolik,17,IG2013019,Igloolik,17
IG2013021,Igloolik,17,IG2013021,Igloolik,17
IG2013022,Igloolik,17,IG2013022,Igloolik,17
IG2013023,Igloolik,17,IG2013023,Igloolik,17
IG2013024,Igloolik,17,IG2013024,Igloolik,17
IG2013025,Igloolik,17,IG2013025,Igloolik,17
IG2013026,Igloolik,17,IG2013026,Igloolik,17
IG2013027,Igloolik,17,IG2013027,Igloolik,17
IG2013028,Igloolik,17,IG2013028,Igloolik,17
IG2013029,Igloolik,17,IG2013029,Igloolik,17
IG2013029,Igloolik,17,IG2013091,Igloolik,17
IG2013030,Igloolik,17,IG2013030,Igloolik,17
IG2013031,Igloolik,17,IG2013031,Igloolik,17
IG2013033,Igloolik,17,IG2013033,Igloolik,17
IG2013035,Igloolik,17,IG2013035,Igloolik,17
IG2013036,Igloolik,17,IG2013036,Igloolik,17
IG2013037,Igloolik,17,IG2013037,Igloolik,17
IG2013038,Igloolik,17,IG2013038,Igloolik,17
IG2013039,Igloolik,17,IG2013039,Igloolik,17
IG2013040,Igloolik,17,IG2013040,Igloolik,17
IG2013041,Igloolik,17,IG2013041,Igloolik,17
IG2013042,Igloolik,17,IG2013042,Igloolik,17
IG2013043,Igloolik,17,IG2013043,Igloolik,17
IG2013044,Igloolik,17,IG2013044,Igloolik,17
IG2013045,Igloolik,17,IG2013076,Igloolik,17
IG2013045,Igloolik,17,IG2013081,Igloolik,17
IG2013045,Igloolik,17,IG2013045,Igloolik,17
IG2013045,Igloolik,17,IG2013080,Igloolik,17
IG2013047,Igloolik,17,IG2013047,Igloolik,17
IG2013048,Igloolik,17,IG2013048,Igloolik,17
IG2013050,Igloolik,17,IG2013051,Igloolik,17
IG2013050,Igloolik,17,IG2013050,Igloolik,17
IG2013052,Igloolik,17,IG2013052,Igloolik,17
IG2013053,Igloolik,17,IG2013053,Igloolik,17
IG2013054,Igloolik,17,IG2013054,Igloolik,17
IG2013055,Igloolik,17,IG2013055,Igloolik,17
