original,location,sample_period,duplicate,location.1,sample_period.1
IG2013053,Igloolik,17,IG2013053,Igloolik,17
IG2013054,Igloolik,17,IG2013054,Igloolik,17
IG2013055,Igloolik,17,IG2013055,Igloolik,17
IG2013056,Igloolik,17,IG2013056,Igloolik,17
IG2013056,Igloolik,17,IG2013090,Igloolik,17
IG2013057,Igloolik,17,IG2013057,Igloolik,17
IG2013058,Igloolik,17,IG2013058,Igloolik,17
IG2013059,Igloolik,17,IG2013059,Igloolik,17
IG2013060,Igloolik,17,IG2013060,Igloolik,17
IG2013061,Igloolik,17,IG2013061,Igloolik,17
IG2013063,Igloolik,17,IG2013063,Igloolik,17
IG2013064,Igloolik,17,IG2013064,Igloolik,17
IG2013065,Igloolik,17,IG2013065,Igloolik,17
IG2013066,Igloolik,17,IG2013066,Igloolik,17
IG2013067,Igloolik,17,IG2013067,Igloolik,17
IG2013068,Igloolik,17,IG2013068,Igloolik,17
IG2013069,Igloolik,17,IG2013069,Igloolik,17
IG2013070,Igloolik,17,IG2013070,Igloolik,17
IG2013071,Igloolik,17,IG2013071,Igloolik,17
IG2013071,Igloolik,17,IG2013073,Igloolik,17
IG2013072,Igloolik,17,IG2013072,Igloolik,17
IG2013074,Igloolik,17,IG2013074,Igloolik,17
IG2013075,Igloolik,17,IG2013075,Igloolik,17
IG2013077,Igloolik,17,IG2013077,Igloolik,17
IG2013078,Igloolik,17,IG2013078,Igloolik,17
IG2013079,Igloolik,17,IG2013079,Igloolik,17
IG2013082,Igloolik,17,IG2013082,Igloolik,17
IG2013083,Igloolik,17,IG2013083,Igloolik,17
IG2013084,Igloolik,17,IG2013084,Igloolik,17
IG2013085,Igloolik,17,IG2013115,Igloolik,17
IG2013085,Igloolik,17,IG2013085,Igloolik,17
IG2013087,Igloolik,17,IG2013087,Igloolik,17
IG2013087,Igloolik,17,IG2013096,Igloolik,17
IG2013088,Igloolik,17,IG2013088,Igloolik,17
IG2013089,Igloolik,17,IG2013089,Igloolik,17
IG2013092,Igloolik,17,IG2013092,Igloolik,17
IG2013093,Igloolik,17,IG2013093,Igloolik,17
IG2013094,Igloolik,17,IG2013094,Igloolik,17
IG2013095,Igloolik,17,IG2013095,Igloolik,17
IG2013097,Igloolik,17,IG2013097,Igloolik,17
IG2013098,Igloolik,17,IG2013098,Igloolik,17
IG2013099,Igloolik,17,IG2013099,Igloolik,17
IG2013100,Igloolik,17,IG2013100,Igloolik,17
IG2013101,Igloolik,17,IG2013101,Igloolik,17
IG2013103,Igloolik,17,IG2013103,Igloolik,17
IG2013104,Igloolik,17,IG2013104,Igloolik,17
IG2013105,Igloolik,17,IG2013105,Igloolik,17
IG2013107,Igloolik,17,IG2013107,Igloolik,17
IG2013108,Igloolik,17,IG2013111,Igloolik,17
IG2013108,Igloolik,17,IG2013109,Igloolik,17
IG2013108,Igloolik,17,IG2013130,Igloolik,17
IG2013108,Igloolik,17,IG2013108,Igloolik,17
IG2013110,Igloolik,17,IG2013110,Igloolik,17
IG2013112,Igloolik,17,IG2013112,Igloolik,17
IG2013114,Igloolik,17,IG2013114,Igloolik,17
IG2013116,Igloolik,17,IG2013116,Igloolik,17
IG2013117,Igloolik,17,IG2013117,Igloolik,17
IG2013118,Igloolik,17,IG2013118,Igloolik,17
IG2013119,Igloolik,17,IG2013119,Igloolik,17
IG2013120,Igloolik,17,IG2013120,Igloolik,17
IG2013121,Igloolik,17,IG2013121,Igloolik,17
IG2013123,Igloolik,17,IG2013123,Igloolik,17
IG2013124,Igloolik,17,IG2013124,Igloolik,17
IG2013125,Igloolik,17,IG2013125,Igloolik,17
IG2013126,Igloolik,17,IG2013126,Igloolik,17
IG2013127,Igloolik,17,IG2013127,Igloolik,17
IG2013128,Igloolik,17,IG2013128,Igloolik,17
IG2013129,Igloolik,17,IG2013129,Igloolik,17
IG2013131,Igloolik,17,IG2013131,Igloolik,17
IG2013132,Igloolik,17,IG2013132,Igloolik,17
IG2013133,Igloolik,17,IG2013137,Igloolik,17
IG2013133,Igloolik,17,IG2013133,Igloolik,17
IG2013134,Igloolik,17,IG2013134,Igloolik,17
IG2013135,Igloolik,17,IG2013135,Igloolik,17
IG2013136,Igloolik,17,IG2013136,Igloolik,17
IG2013138,Igloolik,17,IG2013138,Igloolik,17
IG2013139,Igloolik,17,IG2013139,Igloolik,17
IG2013140,Igloolik,17,IG2013140,Igloolik,17
IG2013141,Igloolik,17,IG2013141,Igloolik,17
IG2013142,Igloolik,17,IG2013142,Igloolik,17
IG2013143,Igloolik,17,IG2013143,Igloolik,17
IG2013144,Igloolik,17,IG2013144,Igloolik,17
IG2013145,Igloolik,17,IG2013145,Igloolik,17
IG2013146,Igloolik,17,IG2013146,Igloolik,17
IG2013147,Igloolik,17,IG2013147,Igloolik,17
IG2013148,Igloolik,17,IG2013148,Igloolik,17
IG2013149,Igloolik,17,IG2013149,Igloolik,17
IG2013149,Igloolik,17,IG2013152,Igloolik,17
IG2013150,Igloolik,17,IG2013150,Igloolik,17
IG2013151,Igloolik,17,IG2013151,Igloolik,17
IG2013153,Igloolik,17,IG2013153,Igloolik,17
IG2013154,Igloolik,17,IG2013154,Igloolik,17
IG2013155,Igloolik,17,IG2013155,Igloolik,17
IG2013156,Igloolik,17,IG2013156,Igloolik,17
IG2013157,Igloolik,17,IG2013157,Igloolik,17
IG2013158,Igloolik,17,IG2013158,Igloolik,17
IQ2011001,Iqaluit,15,IQ2011001,Iqaluit,15
PB2011003,Kugaaruk,15,PB2011003,Kugaaruk,15
PG2008003,Pangnirtung,13,PG2008003,Pangnirtung,13
PG2008009,Pangnirtung,13,PG2008009,Pangnirtung,13
PG2008010,Pangnirtung,13,PG2008010,Pangnirtung,13
PG2011001,Pangnirtung,15,PG2011002,Pangnirtung,15
PG2011001,Pangnirtung,15,PG2011001,Pangnirtung,15
PG2011003,Pangnirtung,15,PG2011003,Pangnirtung,15
PG2011004,Pangnirtung,15,PG2011004,Pangnirtung,15
PG2011005,Pangnirtung,15,PG2011005,Pangnirtung,15
